Latitude	Longitude
42.99922	-112.42549
42.99567	-112.43156
42.99163	-112.43578
42.98789	-112.43796
42.98665	-112.43895
42.98395	-112.44202
42.98148	-112.44430
42.97842	-112.44629
42.97332	-112.44946
42.96501	-112.45227
42.94946	-112.45475
42.94500	-112.45523
42.94283	-112.45547
42.93995	-112.45464
42.93856	-112.45423
42.93593	-112.45464
42.93274	-112.45554
42.93058	-112.45625
42.92806	-112.45666
42.92564	-112.45566
42.92367	-112.45480
42.91996	-112.45276
42.91707	-112.45162
42.91389	-112.45299
42.91155	-112.45636
42.90778	-112.46305
42.90443	-112.47364
42.90356	-112.48225
42.90068	-112.49359
42.89943	-112.50643
42.89982	-112.51530
42.90026	-112.52044
42.89848	-112.52939
42.89645	-112.53743
42.89202	-112.54570
42.88980	-112.54968
42.88732	-112.55820
42.88707	-112.56335
42.88627	-112.56993
42.88419	-112.58124
42.88169	-112.58897
42.87796	-112.59846
42.87289	-112.60956
42.86661	-112.61743
42.86111	-112.62417
42.85575	-112.63200
42.84949	-112.64095
42.84337	-112.65146
42.84020	-112.66061
42.83885	-112.66860
42.83871	-112.67999
42.83808	-112.69029
42.83698	-112.69953
42.83490	-112.71191
42.83173	-112.72106
42.82931	-112.72690
42.82652	-112.73136
42.82295	-112.73694
42.81755	-112.74320
42.80877	-112.74630
42.79842	-112.75086
42.79011	-112.75472
42.78823	-112.75634
42.78765	-112.75759
42.78692	-112.75923
42.78654	-112.76076
42.78679	-112.76197
42.78728	-112.76338
42.78816	-112.76394
42.78946	-112.76393
42.79070	-112.76452
42.79161	-112.76500
42.79251	-112.76573
42.79285	-112.76740
42.79224	-112.77225
42.79088	-112.78008
42.79103	-112.78233
42.79083	-112.78413
42.79047	-112.78595
42.79067	-112.78818
42.79185	-112.78967
42.79300	-112.79075
42.79465	-112.79303
42.79566	-112.79732
42.79582	-112.79894
42.79596	-112.80296
42.79502	-112.80875
42.79319	-112.81598
42.78991	-112.82574
42.78525	-112.83523
42.77922	-112.84571
42.77148	-112.85623
42.76484	-112.86423
42.75899	-112.87111
42.75262	-112.87443
42.74615	-112.87868
42.73857	-112.88499
42.73126	-112.89409
42.71634	-112.91525
42.70579	-112.92989
42.69379	-112.94737
42.68460	-112.96118
42.67869	-112.97287
42.67401	-112.98172
42.66694	-112.99157
42.66233	-112.99792
42.66000	-113.00343
42.65730	-113.00678
42.65458	-113.00919
42.65188	-113.01222
42.64955	-113.01758
42.64790	-113.02291
42.64615	-113.02824
42.64302	-113.03393
42.63922	-113.04088
42.63449	-113.05454
42.62965	-113.06881
42.62525	-113.08230
42.62296	-113.09029
42.61989	-113.10047
42.61929	-113.10686
42.61892	-113.11308
42.61969	-113.11880
42.61933	-113.12580
42.61841	-113.13406
42.61801	-113.14650
42.61794	-113.15892
42.61737	-113.16764
42.61748	-113.17555
42.61681	-113.18520
42.61551	-113.19129
42.61478	-113.19690
42.61326	-113.20285
42.61084	-113.21083
42.60705	-113.21917
42.60383	-113.22701
42.60093	-113.23330
42.59669	-113.24242
42.59473	-113.25055
42.59256	-113.26069
42.59138	-113.27625
42.59003	-113.28731
42.58994	-113.29833
42.58808	-113.30521
42.58681	-113.31409
42.58662	-113.32636
42.58688	-113.33846
42.58834	-113.34525
42.58944	-113.35113
42.58996	-113.35608
42.58918	-113.36759
42.58818	-113.37988
42.58811	-113.39416
42.58919	-113.40779
